Store Name,Rating,Date,Body,Location,Time Spent with App
Lapeoni Events And Flowers,5,"March 15, 2018","The app that I need.  It was able to set up the postcodes that I only cover for deliveries/shippings ang gave me options to do by percentage rate , flat rate, quantity, etc. So easy to install. Just do not forget to purt in your domain in the Url at the section of Getting Started, because i forgot that so it did not merge to my shopify. Thanks to Zann! He can be easily reach through email and willing to work out with you. He is really patient and quick to solve any issues. He also gave me more information about updates of the apps that will be lauch soon. So watch out. On top of it all, its NOT expensive.",United States,Almost 3 years using the app
Your Food Collective,5,"August 22, 2018","Zann and his team are amazing! The app has worked seamlessly for us and the team are always quick to respond with any questions or issues. If you're looking for a shipping extension app, I'd stop right now. You won't get anything better. A joy to work with!",Australia,Almost 3 years using the app
Cremorne Street Bakers,5,"April 24, 2020","This app is very straight forward and when its not the support team are  extremely efficient with help either via email or phone call.
I feel like I'm the most painful customer with many changing requests with our on-line shipping business but never made to feel so...
Thanks team keep up the good work!",Australia,Over 2 years using the app
Appellation Nation,5,"January 20, 2021","If you're UK based (can't speak for other countries, but assume same would apply), you'd be nuts not to use this product for any shipping/click and collect solutions. I tried a bunch of others. This one works. Reliably and efficiently! On top of that, the Support is First Class. Extremely responsive and helpful. This is, by a distance, the easiest and most reliable 3rd Party app I have integrated with my Shopify store.",United Kingdom,Over 2 years using the app
Sweet Pea And Honey Bee,5,"January 30, 2017","I have been using the postcode shipping extension for some time now in my store and have had no issues. Once set up it did exactly what I needed it to. I run a small florist business so need to have delivery (shipping) calculated at checkout based on postcode, which makes the check out process for my customers so much easier. Would recommend.",Australia,Over 2 years using the app
Heat Group Supplies,5,"December 5, 2017","Very simple, easy to use app that works perfectly",United Kingdom,Over 2 years using the app
JWN Shop,5,"February 2, 2023",I would recommend this app. The customer service is excellent and the team is really good in trying to resolve all issues raised in a very timely manner!,Australia,Over 2 years using the app
Hello Friend Foods,5,"May 1, 2022","I was super and pleasantly surprised how good the help desk was! Got back to my messages super quickly, and went up and above what I expected to help this app do what I needed it to do! Thank you Laura O!",Australia,Over 2 years using the app
Tack 'n Togs @ Midfeeds,5,"October 7, 2020",The best customer support I have ever received! The App is extremely easy to use. On the more complicated questions I had the support I received was the best I have ever received on any app! The support team go above and beyond with every single request. It has been an amazing app to use and I will continue to use it. Well done team!!!,South Africa,Over 2 years using the app
Manflower Co,5,"August 6, 2017","Not only did this app solve my problems due to the inability to control delivery zones at a postcode level within Shopify but Zann is next level in terms of his support. I was having trouble over the weekend with updating my shipping rules due to introducing new products and after emailing Zann he jumped on it straight away and offered to call (ON A SATURDAY!!!) and walked me through what I needed to do. It was a simple fix made possible by his exceptional knowledge of how shopify's shipping rules operate. Highly recommend this app and the support that comes with it! 
www.manflowerco.com.au",Australia,Over 2 years using the app
Toyuniverse,5,"April 24, 2017",Awesome app and amazing service. This app makes setting up shipping zones very easy. We're an Australian website so a lot of apps don't work with our postal codes but this one is perfect !,Australia,Over 2 years using the app
AbsoluteSkin,5,"June 21, 2020","Hi Zann is amazing, his support extends over weekends, I had a problem is South Africa with our courier's post codes. different rates within one post code. Zann was very helpful and showed me how to get them right. The system now works fully to my satisfation. I am happy with the app, the service - I will recommend this to anyone that needs a shipping rates according to postcode or place names! Thanks Zann - Franz - AbsoluteSkin",South Africa,Over 2 years using the app
Champagne Gallery Gifts,5,"June 5, 2017","Great app. We recommend it for all our clients.
www.eChic.com.au",Australia,About 2 years using the app
Buildingconstructionsupplies,5,"April 6, 2017","Zann is an absolute gun.  He has helped me from the get go, with bulk loading my rates, through to adjusting them for my weekly deals and he is accountable the whole way through and delivers on what he promises.  Couldnt recommend this app anymore and the support that comes with it is First Class.  
Thanks Zann",Australia,About 2 years using the app
Mns Dev,5,"December 8, 2016",This shipping extension allows our business to support a very unique shipping model. We have shipping across multiple US ZIP codes tiered by weight with both home delivery and in store pickup rates.,United States,About 2 years using the app
Cabin Shoes,5,"March 31, 2017",I'm as guilty as the next person at not writing reviews but after the service Zann gave us it would be criminal if I didn't sing his praises. His app works a treat but what sets him apart from so many other app developers is his outstanding customer service. His email response is rapid - not generic robot auto email - real life person email! He will use skype if required. He understands your requirements. He has a LOT of patience(!) and goes out of his way to make sure you get what you need. I have no hesitation in recommending Zann and his app. Wanted to give 6 stars but couldn't find the button!,United Kingdom,About 2 years using the app
The Road Stall,5,"Edited April 4, 2020","This app is great to use for my florist shop. Zann was quick to answer emails and rectify any problems I had - the continued support is great and once all set up, works really well! Thank you!",Australia,About 2 years using the app
Calvinsfreefromfoods,5,"April 20, 2021",Brilliant app and the support from John has been second to none in helping me sort out all of the shipping zones. Highly reccomend.,United Kingdom,About 2 years using the app
Tracmaster Ltd,5,"May 13, 2021",We struggled to find a solution for shipping based on UK postcodes and parcel weight. This app perfectly suits our requirements. When we had an issue the support was first class too. Excellent all round!,United Kingdom,Almost 2 years using the app
HAITH'S,5,"Edited January 17, 2024",Larry just helped me adjust the free carriage/shipping rules double quick - amazing service and good to see a company providing excellent back up as time is precious for all. Thanks!,United Kingdom,Almost 2 years using the app
Little Traders,5,"February 18, 2022",I've been using the Postcode shipping app for almost a year and it's been the best way for me to limit specific products to different regions across Canada. This app also allowed me to control expensive shipping costs to certain areas of the country. It can be a bit confusing to set up but the team is very responsive and helpful. Thank you!,Canada,Almost 2 years using the app
Codebloom,5,"July 5, 2016","Zann is an absolute GEM! The app does exactly what we need it to do and works like a charm, but if I could give ten stars - I would. Zann was so incredibly helpful throughout the process and I can't even begin to thank him enough. Highly recommended!",Australia,Almost 2 years using the app
Topgrass Dk,5,"June 7, 2018","Fantastic feature to have, works perfectly and quickly. Fantastic and committed customer service. Very recommended -- I'll be using it in other shops I open in the future.",Denmark,Almost 2 years using the app
Macrobite,5,"March 20, 2020",Never have I received better service from a Shopify app developer than when dealing with Zann. He was a great help! The app was simple to use and fulfilled our purposes. We will definitely be purchasing this application moving forward!!,Australia,Over 1 year using the app
Bar Karma X Cottage Springs,5,"April 28, 2020",Great Customer Service! Additional Support was amazing - helped me get the app up and running within 30 mins. 100% recommend using!,Canada,Over 1 year using the app
Arthaussstore,5,"October 23, 2015","AWESOME App, solved all my postcode shipping issues. One thing this app does which others do not is wildcard entries on the postcodes. This is a must with certain London postcodes.",United Kingdom,Over 1 year using the app
Blaupunkt Tools,5,"February 16, 2017","I'm not a big review writer but I know they make a difference, however I felt compelled to come on here and write a rare review to say a big THANKS to Zann for his outstanding service.",United Kingdom,Over 1 year using the app
Theperfecthamper,5,"November 3, 2015","With limited shipping functionality for Australian postcodes, this App came to the rescue! Zann has provided superior service and has assisted in problem solving the issues I faced with Shopify.  Highly recommend this App.",Australia,Over 1 year using the app
Security and Safety,5,"March 13, 2019",Super super happy with Postcode Shipping Extension! I always recommend to my friends and some family members :) Helpful and also can really break down to postcodes. Thanks again Zann for all your help!,Australia,Over 1 year using the app
Bruinsmagrasstrees,5,"April 11, 2018","Zann's app solved my shipping issues so that I could charge different rates to different parts of the country. Also when I was stuck, Zann was very quick with the support I needed. VERY thankful for this app and this service. Thanks Zann.",Australia,Over 1 year using the app
Multi Photo Frames,5,"June 29, 2022","Brilliant app to calculate shipping zones for the UK. Also very helpful and speedy response to any queries. I would recommend this app especially for UK shipping zones to Scotland, Ireland etc. where it costs more to ship when using certain couriers.",United Kingdom,Over 1 year using the app
PRIME Fitness USA,5,"October 22, 2021",Very simplistic and easy to integrate into our Shopify store. I was also blown away at how quick and detailed their customer support was every time we reached out. 10/10 would recommend!!,United States,About 1 year using the app
MyHouse-Sandbox,5,"September 8, 2022","Great APP, great support! Needed an APP to make assigning carriers, costs and postcode ranges easy and this APP certainly delivered.",Australia,About 1 year using the app
Bottles & Burps,5,"February 25, 2019",Zann is SUPER responsive and the support is impeccable.  This app was exactly what we needed in order to only show certain shipping options to customers in certain zip-code specific zones.  Very intuitive and easy to set up and it just works!,United States,About 1 year using the app
Little Tummy Tucker,5,"October 23, 2014","This is the second of Zann's apps that we've used, and as always the product is great and the service truly amazing. Thanks Zann
Kim@ echic.com.au  for LittleTummyTucker.com.au",Australia,About 1 year using the app
Deckz Co Ltd,5,"April 12, 2019","The App is excellent, never had any hiccups. Whenever we have had an questions or ran into any problems because of shopify, ZANN, the app owner has always been instantly on it. Highly recommended!",United Kingdom,About 1 year using the app
Paramedic Shop,5,"Edited May 16, 2021","More terrific service from Zann and his team. We moved warehouse and had to change all our rates and this happened so quickly and with so little fuss. So pleased to have found this App that sorted out my shipping issues. Zann provides terrific support and responds quickly, more than met my expectations. A valuable addition to our business processes and seriously worth considering.",Australia,About 1 year using the app
Total Image Supplies,5,"June 11, 2018",Basic app that does everything you need and everything it says it will.,Australia,About 1 year using the app
Fitness At Home,5,"March 5, 2019","I have used this app for over a year, I now have it on three sites. The support I have received has been awesome! I am not very tech savvy, so it is much appreciated here! thanks again for all your help!",Australia,About 1 year using the app
Detailing Shed,5,"May 10, 2021","We have been using the additions app for over 3 years. The support that we have been receiving for the app on our Shopify store is first class. From our 11 Apps, I would say that Addition's Apps would offer the best customer service. You would not be disappointed. Nick",Australia,About 1 year using the app
Kate Hill Flowers,5,"April 30, 2019",Zann is the man. Having used his product for nearly a year now it has been nothing less than rock solid and the support is second to none. Be more like Zann.,Australia,12 months using the app
Purrly,5,"November 10, 2015","This app comes highly recommended! It enabled our business to do exactly what we needed, and had functionality that no other app had. Plus, Zann was incredibly helpful and prompt in responding to our questions.",Australia,11 months using the app
Stationery R Us Express V2,5,"July 30, 2020",What an amazing app and support team. The team went above and beyond to help us install this app on our site and it functions perfectly. HIGH highly recommend this one to Shopify store owners that want to target based on postcode.,Australia,11 months using the app
Gingerbread House Kit,5,"October 17, 2018","Everyone has unique needs when it comes to shipping which makes it incredibly difficult to find an affordable, generic app that handles a multitude of scenarios. This is the one. It provides a lot of flexibility, but if you get stuck,  the support is outstanding. Given the importance of getting shipping right, this is absolutely worth every cent.",Australia,11 months using the app
Chop2chisel,5,"April 12, 2017",Wow this was simple and now I can fully control my delivery costs! I have tried other apps and this was by far the easiest with the greatest support. I was even informed while asking the developer questions that there will be enhancements that will automatically update and make the app usage even better. Super excited!,United States,10 months using the app
Maxrete,5,"Edited May 27, 2021",The only UK postcodes APP I could find and works perfectly. I almost gave up but thankfully I found this one. It works a treat very simple/intuitively and customer support is 1st class - both times I made errors and they fixed it in minutes. GREAT PRODUCT cannot say enough good things about it. We are now using it on our Belgium and Holland website too.,United Kingdom,10 months using the app
Defender Canada,5,"July 23, 2021",Great app and support is outstanding. John had a solution for us within an hour ! A must have !!!!!!!,Canada,9 months using the app
BBQ XL,5,"January 9, 2014","We have been using the Postcode Shipping Extension app to calculate very accurate postage costs across Australia. This is the perfect tool if you have a corporate account with Australia Post. By using this app we are able to ensure we  have the most competitive prices to deliver items to our customers. The set up can take a little time but once the information has been input, it simply works.",Australia,9 months using the app
KIDZFAIRE,5,"October 12, 2022","Very happy with both the app and the customer support. Amazing support by Larry. Fast, clear and accurate. I'm a very happy customer. If you need to set up different rates for a variety of zones and different type of products, this app works wonders. And if you face any issues with the app setting, these guys will work hard to make sure you get the result you wish. Highly recommended by me and my team! Thank you guys! Thank you Larry!",Australia,9 months using the app
emmo.ca,5,"May 24, 2022","Great App. Exactly what we are looking for since we want to narrow down the shipping zones to certain areas based on postal code. - Shopify's shipping profile only lets you go down to provinces. The setup is well-organized and logical. The development team must have input quite a lot time and energy in studying all kinds of scenarios that everyone will come across. Great APP! Good Job! Amazing support team! They are the ones who really care about the issues that you might have during the setup and is there to dig into the details and solve the problem. Happy I found this APP and many thanks, Team!",Canada,9 months using the app
Anvil Fitness,5,"November 16, 2018","This app is fantastic for custom rates tables and to quickly and easily set up multiple shipping options!
Zann from Addition is second to none when it comes to customer service!
Highly recommended!!!",Australia,8 months using the app
Tj Traepiller,5,"November 6, 2015",Great application! It saved me alot of money and tons of work. Would recommend this.,Denmark,8 months using the app
Discount Branded Sportswear,5,"June 26, 2016",Couldn't be happier with the functionality of the app or the outstanding support from the developer.  Very highly recommended.,United Kingdom,8 months using the app
My Nook,5,"Edited February 5, 2021",This app has been such a gamer-changer for us! We have been able to target our orders and manage our shipping costs so much better and that has really improved the bottom line. We have a number of apps for our Shopify store and this has always been the easiest to use - the support team are exceptional and go above and beyond to help with questions and implementation. Amazing job Addition Team!,Australia,7 months using the app
Picard Demo,5,"May 7, 2020",Very good App to be able to configure shipping methods and rates however you want. Totally right approach to fetch available alternatives through API in 2nd step of Checkout. Also superfast customer support!!!,Sweden,7 months using the app
Mopani Pharmacy,5,"March 26, 2019","Hi, had this installed but removed as we had to redo due to account update. When wanting to reinstall now we get a 500 server error?",South Africa,6 months using the app
GLAMSWAG,5,"May 22, 2022",We are based in Australia and I needed an app to break down our shipments state by state and region by region. Postcode Shipping has been perfect. Works like a dream. And when I needed a little bit of help their support team got back to me within 30mins - on a weekend!,Australia,6 months using the app
The Chef Shelf,5,"March 26, 2014","App does exactly as promised and when there was a bug, it was fixed within a couple hours. Zann does a great job with customer service and even if we need to move to something more advanced, Zann would be the guy to build it.",United States,6 months using the app
Fragrance Oils Direct UK,5,"January 26, 2021",This app allows us to ship to all parts of the UK and europe and set up discounted rates for levels of spending. It does far more than this but we dont need additional functionality. Support is always lightning fast and they have been able to assist and resolve our issues without issue. First class all and service,United Kingdom,5 months using the app
Wrights The Butchers,5,"May 21, 2020","This app works perfectly for our store. We are based in Sydney, Australia and have quite complicated delivery zones. Support was exceptional. Highly recommend.",Australia,5 months using the app
Club Rattan,5,"March 5, 2020","This App works perfectly for my online shop! I'm based in the UK and deliver to all UK postcodes, including Northern Ireland. I also deliver to the Republic of Ireland, the Channel Islands and the Isle of Man and these areas were also straightforward to setup.",United Kingdom,5 months using the app
Azalea Flowers,5,"April 28, 2019","I used this app to easily set up an online store that uses our own local courier to deliver. Our shipping rates are based on distance from our bricks and mortar store. I can't recommend it enough for a simple quick solution. The support I received from Zann was the best I've encountered in my Shopify experience. He was so helpful for getting things up and running quickly, he answered all my questions and pointed me in the right direction for anything beyond the apps function. I had a very short timeframe for getting the store up and running and his help made it happen. Thanks so much Zann - you're my hero!",Australia,4 months using the app
THE C WORD cookies,5,"March 26, 2020","Excellent app, works flawlessly once set up - and for that Zann is the man, amazing service.
Highly recommended.",Australia,4 months using the app
The Good Bunch,5,"April 18, 2020","I don't think I've ever had better customer service. Zann is a legend, stayed with me on his Saturday afternoon to help me out, on the phone with me, contact another app I have on my site on my behalf to get the issue solved. I hope he enjoys that well earned beer. Thanks again Zann.",Australia,4 months using the app
Big Red Camping,5,"August 27, 2018",Absolutely perfect for my needs. Does exactly what it's supposed to & very easy to use. It's also incredibly flexible in the way it allows me to set up postcode ranges.,United Kingdom,4 months using the app
BubMania,5,"July 20, 2021",Best support and Best Shipping App. Finally found an app that met all my shipping needs and easy to use. And an Australian Business which made discussing my complexed shipping needs that much easier. The team went above and beyond with their communication and support. 100% recommend.,Australia,3 months using the app
Office Furniture Company,5,"August 25, 2018","One of the best decisions I made for my store. 
The tool itself is amazing. Very intuitive and easy to work out.
BUT, the best bit is the awesome customer service provided by Zann.
Whenever and where ever I got stuck, Zann responded quickly and helped me through it very patiently. 
I would recommend it 100% . 
Give it a go!",Australia,3 months using the app
Normalizer Pillows,5,"May 21, 2022",We are in trial setup. Support has been excellent and all our questions have been answered in a timely basis.,Canada,3 months using the app
EmonaVina,5,"January 17, 2023",I had to mirror a complex postcode-based shipping model for products plus integrate third-party drop-shipped merch. This worked great and when I needed it the support was superb. Definitely recommended.,United Kingdom,3 months using the app
Only Dining Chairs,5,"April 28, 2020",Great app and really helped us sort out our shipping situation and customer service is amazing- Zann is a legend!!!!,Australia,3 months using the app
Sugarwood Co,5,"Edited January 21, 2018","Zann was wonderful! He called me on a Saturday!! I didn't know you had to fully type the zip code instead of using the first three digits!! I.e 73900-73999. I Had the problem fixed in minutes!
WWW.SHOPSUGARWOOD.COM",United States,3 months using the app
Simply Stylish Gifts,5,"July 28, 2017","I was experiencing problems with my shipping rates being calculated incorrectly with another app and approached Zann to see if he could assist. After 2 days of assisting me and loading the New Zealand post codes for me (and fixing a few things I had done incorrectly), it is up and running! Zann really goes out of his way to help. Very happy customer!
Nadia
www.simplygifts.co.nz",New Zealand,3 months using the app
Oasismaterials,5,"December 12, 2016","Great Service, Great App. Got it all installed and set up ok (or so i thought) put i kepts having an issue preventing the shipping from updating on check out. I called the support number and they answered straight away and with in a couple of minutes it was all sorted out. was really surprised at the level of service. Thanks guys!",Australia,2 months using the app
La Vida Vegan,5,"May 20, 2019",Such a great app with amazing support. Does everything I need it to do and without fault. Thank you :),Australia,2 months using the app
LittleBunnyToys,5,"September 18, 2022",Great app and great support team! They helped me with so many questions even the ones that were not related to the app,Canada,2 months using the app
Frenchic Furniture Paint,5,"August 6, 2019","Amazing app and the support team are always super helpful and very fast to get back to you on any queries, could not recommend this app enough :)",United Kingdom,2 months using the app
Consolidatedsecuritymerchants,5,"August 16, 2017",Postcode Shipping Extension is the only app I could find on app store to get Calculated Shipping costs based on postcodes. It is a very simple app that does the work. Zann's customer support is excellent! He responses immediately for support requests.Thank you!,Australia,2 months using the app
Vanillagorillauk,5,"June 21, 2017","Excellent app, and exceptional customer service. Zann went above and beyond to ensure PSE was compatible with my store. A++",United Kingdom,2 months using the app
The Black Seed Co,5,"March 2, 2019","I ran into a big issue on Saturday morning, (through no fault of the app) and emailed support to receive the app developer himself call me within a matter of minutes.",Australia,About 2 months using the app
Bens Goods,5,"April 13, 2017","Zann is the Man. Got my app working personally so I can deliver locally to only specific postal codes. He mentioned he will be adding more functionality, shows he is constantly updating and improving the app. Highly recommended. Download it.",United States,About 2 months using the app
Snow Retention Warehouse,5,"June 11, 2016",The app is mostly very easy to use. And any questions or issues I've run into have been addressed SUPER quickly by the developer. GREAT support and a solid app solved our shipping payment issues.,Canada,About 1 month using the app
FabFinds,5,"May 21, 2019",Amazing support from Zann.  App also works and function as I expect it to and will help us set different shipping rates for the future. www.fabfinds.co.uk,United Kingdom,About 1 month using the app
Packstore Australia,5,"February 27, 2019","Shopify APP developers, please take note!",Australia,About 1 month using the app
Bling Ingredients,4,"July 19, 2022",Very useful app which has allowed our store to implement alternative shipping options and customer service is excellent,United Kingdom,About 2 years using the app
Green Gate Bio Packaging,5,"February 9, 2021","I saw another reviewer who mentioned this app was great for anyone using DPD Local as their couriers, and I couldn't agree more. It's meant that we're now able to offer accurate rates to our customers at checkout for the various service options DPD offer. You have to spend a bit of time getting it set-up how you want, according to the different postcodes, but I found it quickly became intuitive and when I did have any questions the support team were quick to respond.",United Kingdom,22 days using the app
Scopeuout Au,5,"June 5, 2017","Great app with fantastic customer service offered by Zann. Easy to use, affordable  and Zann is more than happy to help with customisations. Love this app!",Australia,20 days using the app
Basketsboards,5,"Edited March 28, 2017",The developer seems responsive and willing to provide the necessary adjustment/improvements to deal with our concerns.,Canada,19 days using the app
Frenshmo,5,"September 1, 2020","What a great app this is. Solved my issue with postcode shipping rates at ease. Very convenient, fast, and user-friendly app. You can set up shipping rates based on postcode+weight+additional rules etc. What else could you ask for..Just love it!",Australia,18 days using the app
My Care Kiosk,5,"October 6, 2016",Im super impressed. Zann was responsive to all my concerns even calling Australia from United States to answer an email. Shipping can be complex part of your online offering and needs to be accurate. Postcode Shipping gives me that for my buy and hire mobility aids business. Highly recommended.,Australia,16 days using the app
Harvest Markets,5,"Edited April 21, 2020","Addition's Postcode Shipping Extension is excellent.  I needed an App that would let me arrange my shipping by not only postcode, but also via suburb in Australia which many others couldn't do.  The Support Team contacted me within an hour of my query and had everything set up and working exactly how we needed it.  Amazing customer service and a fantastic App.",Australia,16 days using the app
